Year,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%
2024,Toronto Raptors,1.7,4.3,38.5,1.6,4.4,36.9,8.2,24.2,33.9
2024,Utah Jazz,2.2,5.3,41.8,1.9,5.2,36,8.8,25.8,34.3
2024,Washington Wizards,1.6,4.4,37.7,1.6,4,39.2,9.1,27,33.9
2023,Atlanta Hawks,1.7,4.7,36.1,1.4,3.8,37,7.7,22,34.9
2023,Boston Celtics,2,5,39.6,2,5,41.3,12,32.4,36.9
2023,Brooklyn Nets,1.7,4.4,39.6,1.6,4.1,39.4,9.4,25.2,37.3
2023,Charlotte Hornets,1.7,5,33.8,1.4,3.8,36.5,7.7,23.6,32.5
2023,Chicago Bulls,1.8,4.5,39.9,1.3,3.3,38.5,7.3,20.9,34.9
2023,Cleveland Cavaliers,1.4,3.9,36.3,1.5,4.2,37.2,8.6,23.4,36.9
2023,Dallas Mavericks,2.4,5.6,43.3,2.2,5.9,37,10.5,29.1,36.3
2023,Denver Nuggets,1.7,4.5,38,1.6,3.6,43.9,8.5,22.7,37.3
2023,Detroit Pistons,1.7,4.5,36.9,1.7,4.4,37.5,8,23.2,34.5
2023,Golden State Warriors,1.8,4.9,36.8,1.8,4.1,43,13,33.9,38.5
2023,Houston Rockets,1.2,3,38,0.9,2.6,33.8,8.4,26.1,32.1
2023,Indiana Pacers,1.6,4.4,36.6,1.8,4.5,40.2,10.1,27.9,36.3
2023,Los Angeles Clippers,1.7,4.8,36.5,1.7,3.9,44.4,9.2,24.5,37.7
2023,Los Angeles Lakers,1.4,4,34.5,1.5,3.9,38.4,7.9,23.1,34
2023,Memphis Grizzlies,2.1,5.3,38.7,1.2,3.6,34.9,8.7,25.1,34.6
2023,Miami Heat,1.8,5.1,36.2,1.7,4.5,37.8,8.4,25,33.5
2023,Milwaukee Bucks,1.8,4.8,36.9,1.9,4.9,38.1,11.2,30.5,36.8
2023,Minnesota Timberwolves,1.8,4.5,40.1,1.5,4,37.1,8.8,24.4,36
2023,New Orleans Pelicans,1.3,3.4,38.4,1.4,3.8,36.5,8.2,22.6,36.5
2023,New York Knicks,2.1,5.1,40.4,1.8,5.1,35.3,8.7,25.3,34.4
2023,Oklahoma City Thunder,1.7,4.4,38.8,1.2,2.9,41,9.2,26.6,34.7
2023,Orlando Magic,1.6,3.8,41.5,1.2,3,39.8,8,24.2,33
2023,Philadelphia 76ers,1.7,4.6,37.6,1.9,4.5,42.5,9,23.4,38.5
2023,Phoenix Suns,2.4,5.4,44.9,1.7,4.4,38.6,8.1,22.7,35.7
2023,Portland Trail Blazers,1.3,3.7,34.6,1.5,4.1,37.5,10.1,27.4,36.8
2023,Sacramento Kings,2,4.9,40.6,1.5,3.9,38.4,10.2,28.3,36.1
2023,San Antonio Spurs,1.5,3.9,38.5,1.2,3.3,35.7,8.4,24.7,34
2023,Toronto Raptors,1.7,4.5,37.5,1.5,4.4,35,7.5,22.8,32.7
2023,Utah Jazz,1.7,4.1,41.5,1.9,4.7,40.9,9.7,28.7,33.7
2023,Washington Wizards,1.7,4.2,41,1.2,3.1,38.5,8.3,24.2,34.3
2022,Atlanta Hawks,1.8,3.8,46.6,1.7,4.3,38.6,9.4,26.1,36.1
2022,Boston Celtics,1.7,4.7,35.1,1.9,4.3,44.9,9.6,28,34.5
2022,Brooklyn Nets,1.5,4,38.1,1.5,3.8,40.8,8.4,23.8,35.2
2022,Charlotte Hornets,2.4,6.2,38.3,1.8,5,36.1,9.7,26.6,36.5
2022,Chicago Bulls,1.7,4.3,39.1,1.7,3.9,43.8,7.2,20.3,35.5
2022,Cleveland Cavaliers,1.5,4.2,35.3,1.3,3.8,33.2,8.9,24.6,36
2022,Dallas Mavericks,2.1,5.3,39.1,1.9,4.8,39.8,9.1,27,33.6
2022,Denver Nuggets,2.2,5.3,41.3,1.5,4.5,34.5,8.9,25.9,34.6
2022,Detroit Pistons,2,5.6,35.9,1.5,4.2,36.1,7.8,24.6,31.6
2022,Golden State Warriors,1.8,5,35.8,1.2,3.9,31.9,11.2,30.1,37.4
